Year,Units,Geography,Offences,Age of accused,Sex of accused,Value
2014/2015,Adult criminal courts,,,,,123
2015/2016,Adult criminal courts,,,,,126
2016/2017,Adult criminal courts,,,,,136
2017/2018,Adult criminal courts,,,,,138
2018/2019,Adult criminal courts,,,,,139
2014/2015,Adult criminal courts,Canada,Total offences,Total - age of accused,Males,124
2015/2016,Adult criminal courts,Canada,Total offences,Total - age of accused,Males,127
2016/2017,Adult criminal courts,Canada,Total offences,Total - age of accused,Males,138
2017/2018,Adult criminal courts,Canada,Total offences,Total - age of accused,Males,140
2018/2019,Adult criminal courts,Canada,Total offences,Total - age of accused,Males,141
2014/2015,Adult criminal courts,Canada,Total offences,Total - age of accused,Females,113
2015/2016,Adult criminal courts,Canada,Total offences,Total - age of accused,Females,114
2016/2017,Adult criminal courts,Canada,Total offences,Total - age of accused,Females,127
2017/2018,Adult criminal courts,Canada,Total offences,Total - age of accused,Females,129
2018/2019,Adult criminal courts,Canada,Total offences,Total - age of accused,Females,133
2014/2015,Adult criminal courts,Canada,Total offences,Total - age of accused,Company,215
2015/2016,Adult criminal courts,Canada,Total offences,Total - age of accused,Company,239
2016/2017,Adult criminal courts,Canada,Total offences,Total - age of accused,Company,205
2017/2018,Adult criminal courts,Canada,Total offences,Total - age of accused,Company,344
2018/2019,Adult criminal courts,Canada,Total offences,Total - age of accused,Company,243
2014/2015,Adult criminal courts,Canada,Total offences,Total - age of accused,Sex unknown,148
2015/2016,Adult criminal courts,Canada,Total offences,Total - age of accused,Sex unknown,148
2016/2017,Adult criminal courts,Canada,Total offences,Total - age of accused,Sex unknown,155
2017/2018,Adult criminal courts,Canada,Total offences,Total - age of accused,Sex unknown,138
2018/2019,Adult criminal courts,Canada,Total offences,Total - age of accused,Sex unknown,137
2014/2015,Adult criminal courts,Canada,Total offences,18 to 24 years,Total - sex of accused,129
2015/2016,Adult criminal courts,Canada,Total offences,18 to 24 years,Total - sex of accused,133
2016/2017,Adult criminal courts,Canada,Total offences,18 to 24 years,Total - sex of accused,148
2017/2018,Adult criminal courts,Canada,Total offences,18 to 24 years,Total - sex of accused,149
2018/2019,Adult criminal courts,Canada,Total offences,18 to 24 years,Total - sex of accused,154
2014/2015,Adult criminal courts,Canada,Total offences,18 to 24 years,Males,131
2015/2016,Adult criminal courts,Canada,Total offences,18 to 24 years,Males,135
2016/2017,Adult criminal courts,Canada,Total offences,18 to 24 years,Males,149
2017/2018,Adult criminal courts,Canada,Total offences,18 to 24 years,Males,154
2018/2019,Adult criminal courts,Canada,Total offences,18 to 24 years,Males,158
2014/2015,Adult criminal courts,Canada,Total offences,18 to 24 years,Females,115
2015/2016,Adult criminal courts,Canada,Total offences,18 to 24 years,Females,116
2016/2017,Adult criminal courts,Canada,Total offences,18 to 24 years,Females,129
2017/2018,Adult criminal courts,Canada,Total offences,18 to 24 years,Females,136
2018/2019,Adult criminal courts,Canada,Total offences,18 to 24 years,Females,139
2014/2015,Adult criminal courts,Canada,Total offences,18 to 24 years,Sex unknown,154
2015/2016,Adult criminal courts,Canada,Total offences,18 to 24 years,Sex unknown,148
2016/2017,Adult criminal courts,Canada,Total offences,18 to 24 years,Sex unknown,162
2017/2018,Adult criminal courts,Canada,Total offences,18 to 24 years,Sex unknown,149
2018/2019,Adult criminal courts,Canada,Total offences,18 to 24 years,Sex unknown,154
2014/2015,Adult criminal courts,Canada,Total offences,25 to 34 years,Total - sex of accused,121
2015/2016,Adult criminal courts,Canada,Total offences,25 to 34 years,Total - sex of accused,126
2016/2017,Adult criminal courts,Canada,Total offences,25 to 34 years,Total - sex of accused,134
2017/2018,Adult criminal courts,Canada,Total offences,25 to 34 years,Total - sex of accused,135
2018/2019,Adult criminal courts,Canada,Total offences,25 to 34 years,Total - sex of accused,139
2014/2015,Adult criminal courts,Canada,Total offences,25 to 34 years,Males,121
2015/2016,Adult criminal courts,Canada,Total offences,25 to 34 years,Males,126
2016/2017,Adult criminal courts,Canada,Total offences,25 to 34 years,Males,134
2017/2018,Adult criminal courts,Canada,Total offences,25 to 34 years,Males,137
2018/2019,Adult criminal courts,Canada,Total offences,25 to 34 years,Males,140
2014/2015,Adult criminal courts,Canada,Total offences,25 to 34 years,Females,113
2015/2016,Adult criminal courts,Canada,Total offences,25 to 34 years,Females,119
2016/2017,Adult criminal courts,Canada,Total offences,25 to 34 years,Females,128
2017/2018,Adult criminal courts,Canada,Total offences,25 to 34 years,Females,132
2018/2019,Adult criminal courts,Canada,Total offences,25 to 34 years,Females,135
2014/2015,Adult criminal courts,Canada,Total offences,25 to 34 years,Sex unknown,148
2015/2016,Adult criminal courts,Canada,Total offences,25 to 34 years,Sex unknown,149
2016/2017,Adult criminal courts,Canada,Total offences,25 to 34 years,Sex unknown,151
2017/2018,Adult criminal courts,Canada,Total offences,25 to 34 years,Sex unknown,135
2018/2019,Adult criminal courts,Canada,Total offences,25 to 34 years,Sex unknown,136
2014/2015,Adult criminal courts,Canada,Total offences,35 to 44 years,Total - sex of accused,123
2015/2016,Adult criminal courts,Canada,Total offences,35 to 44 years,Total - sex of accused,125
2016/2017,Adult criminal courts,Canada,Total offences,35 to 44 years,Total - sex of accused,134
2017/2018,Adult criminal courts,Canada,Total offences,35 to 44 years,Total - sex of accused,134
2018/2019,Adult criminal courts,Canada,Total offences,35 to 44 years,Total - sex of accused,134
2014/2015,Adult criminal courts,Canada,Total offences,35 to 44 years,Males,123
2015/2016,Adult criminal courts,Canada,Total offences,35 to 44 years,Males,124
2016/2017,Adult criminal courts,Canada,Total offences,35 to 44 years,Males,134
2017/2018,Adult criminal courts,Canada,Total offences,35 to 44 years,Males,136
2018/2019,Adult criminal courts,Canada,Total offences,35 to 44 years,Males,135
2014/2015,Adult criminal courts,Canada,Total offences,35 to 44 years,Females,116
2015/2016,Adult criminal courts,Canada,Total offences,35 to 44 years,Females,120
2016/2017,Adult criminal courts,Canada,Total offences,35 to 44 years,Females,127
2017/2018,Adult criminal courts,Canada,Total offences,35 to 44 years,Females,132
2018/2019,Adult criminal courts,Canada,Total offences,35 to 44 years,Females,133
2014/2015,Adult criminal courts,Canada,Total offences,35 to 44 years,Sex unknown,149
2015/2016,Adult criminal courts,Canada,Total offences,35 to 44 years,Sex unknown,155
2016/2017,Adult criminal courts,Canada,Total offences,35 to 44 years,Sex unknown,142
2017/2018,Adult criminal courts,Canada,Total offences,35 to 44 years,Sex unknown,131
2018/2019,Adult criminal courts,Canada,Total offences,35 to 44 years,Sex unknown,134
2014/2015,Adult criminal courts,Canada,Total offences,45 to 54 years,Total - sex of accused,120
2015/2016,Adult criminal courts,Canada,Total offences,45 to 54 years,Total - sex of accused,123
2016/2017,Adult criminal courts,Canada,Total offences,45 to 54 years,Total - sex of accused,137
2017/2018,Adult criminal courts,Canada,Total offences,45 to 54 years,Total - sex of accused,139
2018/2019,Adult criminal courts,Canada,Total offences,45 to 54 years,Total - sex of accused,138
2014/2015,Adult criminal courts,Canada,Total offences,45 to 54 years,Males,121
2015/2016,Adult criminal courts,Canada,Total offences,45 to 54 years,Males,123
2016/2017,Adult criminal courts,Canada,Total offences,45 to 54 years,Males,139
2017/2018,Adult criminal courts,Canada,Total offences,45 to 54 years,Males,141
2018/2019,Adult criminal courts,Canada,Total offences,45 to 54 years,Males,140
2014/2015,Adult criminal courts,Canada,Total offences,45 to 54 years,Females,107
2015/2016,Adult criminal courts,Canada,Total offences,45 to 54 years,Females,118
2016/2017,Adult criminal courts,Canada,Total offences,45 to 54 years,Females,125
2017/2018,Adult criminal courts,Canada,Total offences,45 to 54 years,Females,129
2018/2019,Adult criminal courts,Canada,Total offences,45 to 54 years,Females,132
2014/2015,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,147
2015/2016,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,148
2016/2017,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,160
2017/2018,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,135
2018/2019,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,140
2014/2015,Adult criminal courts,Canada,Total offences,55 years and over,Total - sex of accused,107
2015/2016,Adult criminal courts,Canada,Total offences,55 years and over,Total - sex of accused,113
2016/2017,Adult criminal courts,Canada,Total offences,55 years and over,Total - sex of accused,120
2017/2018,Adult criminal courts,Canada,Total offences,55 years and over,Total - sex of accused,120
2018/2019,Adult criminal courts,Canada,Total offences,55 years and over,Total - sex of accused,120
2014/2015,Adult criminal courts,Canada,Total offences,55 years and over,Males,111
2015/2016,Adult criminal courts,Canada,Total offences,55 years and over,Males,116
2016/2017,Adult criminal courts,Canada,Total offences,55 years and over,Males,124
2017/2018,Adult criminal courts,Canada,Total offences,55 years and over,Males,121
2018/2019,Adult criminal courts,Canada,Total offences,55 years and over,Males,122
2014/2015,Adult criminal courts,Canada,Total offences,55 years and over,Females,91
2015/2016,Adult criminal courts,Canada,Total offences,55 years and over,Females,85
2016/2017,Adult criminal courts,Canada,Total offences,55 years and over,Females,96
2017/2018,Adult criminal courts,Canada,Total offences,55 years and over,Females,99
2018/2019,Adult criminal courts,Canada,Total offences,55 years and over,Females,101
2014/2015,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,138
2015/2016,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,157
2016/2017,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,162
2017/2018,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,134
2018/2019,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,124
2014/2015,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Total - sex of accused,122
2015/2016,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Total - sex of accused,125
2016/2017,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Total - sex of accused,134
2017/2018,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Total - sex of accused,136
2018/2019,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Total - sex of accused,138
2014/2015,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Males,124
2015/2016,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Males,126
2016/2017,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Males,136
2017/2018,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Males,140
2018/2019,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Males,141
2014/2015,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Females,108
2015/2016,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Females,113
2016/2017,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Females,122
2017/2018,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Females,126
2018/2019,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Females,129
2014/2015,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Company,171
2015/2016,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Company,98
2016/2017,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Company,196
2017/2018,Adult criminal courts,Canada,Total Criminal Code,Total - age of accused,Company,121
